CHE 331 lecture,"['TR 12-1:20p']"
CHE 332 lecture,"['TR 12-12:50p', 'TR 12-12:50p']"
CHE 333 lecture,"['TR 8-8:50a']"
CHE 361 lecture,"['TR 10-10:50a']"
CHE 415 lecture,"['M 4-4:50p', 'W 2-2:50p']"
CHE 431 lecture,"['WF 12-12:50p', 'WF 11-11:50a']"
CHE 446 lecture,"['TR 10-11:20a']"
CHE 451 lecture,"['TR 8-9:20a']"
CHE 514 lecture,"['MW 8-9:20a']"
CHE 540 lecture,"['TR 10-11:20a']"
CHE 542 lecture,"['TR 10-11:20a']"
CHE 546 lecture,"['TR 10-11:20a']"
CHE 551 lecture,"['TR 8-9:20a']"
COMM 111 lecture,"['M 2-2:50p', 'M 1-1:50p', 'MWF 3-3:50p', 'MWF 2-2:50p', 'MWF 9-9:50a', 'TR 2-3:20p']"
COMM 114 lecture,"['M 9-9:50a']"
COMM 218 lecture,"['MWF 9-9:50a', 'MWF 9-9:50a']"
COMM 320 lecture,"['MW 4-5:20p']"
COMM 321 lecture,"['TR 10-11:20a']"
COMM 324 lecture,"['TR 12-1:20p']"
COMM 412 lecture,"['MWF 9-9:50a']"
COMM 416 lecture,"['TR 2-3:20p']"
COMM 418 lecture,"['R 4-6:50p']"
COMM 459 lecture,"['W 4-6:50p']"
COMM 512 lecture,"['MWF 9-9:50a']"
COMM 516 lecture,"['TR 2-3:20p']"
COMM 518 lecture,"['R 4-6:50p']"
COMM 559 lecture,"['W 4-6:50p']"
COMM 599 lecture,"['T 4-6:50p']"
CROP 325 lecture,"['TR 10-11:20a']"
CROP 440 lecture,"['MWF 9-9:50a']"
CROP 540 lecture,"['MWF 9-9:50a']"
CS 162 lecture,"['MWF 10-10:50a']"
CS 261 lecture,"['TR 12-1:20p', 'TR 2-3:20p']"
CS 271 lecture,"['TR 10-11:50a']"
CS 321 lecture,"['TR 2-3:20p']"
CS 325 lecture,"['TR 12-1:50p', 'TR 2-3:50p']"
CS 344 lecture,"['MW 12-1:50p']"
CS 361 lecture,"['TR 4-5:50p']"
CS 362 lecture,"['MW 4-5:50p']"
CS 372 lecture,"['TR 2-3:50p']"
CS 381 lecture,"['MW 10-11:50a']"
CS 427 lecture,"['MW 8-9:50a']"
CS 440 lecture,"['TR 12-1:50p']"
CS 446 lecture,"['MW 4-5:20p']"
CS 457 lecture,"['MW 10-11:50a']"
CS 476 lecture,"['TR 10-11:50a']"
CS 492 lecture,"['TR 2-3:50p']"
