NMC100 lecture,"['TR 10-11:20a']"
NMC101 lecture,"['MW 4-5:20p']"
NMC255 lecture,"['TR 12-1:50p']"
NMC301 lecture,"['TR 10-11:20a']"
NMC322 lecture,"['TR 4-5:20p']"
NMC330 lecture,"['TR 8:30-9:50a']"
NMC421 lecture,"['TR 12-1:20p']"
TA147 lecture,"['TR 12-1:20p']"
TA242 lecture,"['TR 10-11:20a']"
TA244 lecture,"['TR 10-10:50a']"
TA247 lecture,"['TR 2-3:20p']"
TA330 lecture,"['MWF 11-11:50a']"
TA351 lecture,"['MW 4-5:20p']"
HST101 lecture,"['MW 8-9:50a']"
HST102 lecture,"['MW 12-1:50p']"
HST104 lecture,"['TR 8-9:20a', 'MW 4-5:20p']"
HST105 lecture,"['TR 2-3:20p']"
HST106 lecture,"['TR 12-1:20p']"
HST201 lecture,"['TR 8-9:50a']"
HST202 lecture,"['TR 10-11:50a']"
HST203 lecture,"['MW 2-3:50p']"
HST310 lecture,"['TR 12-1:50p']"
HST317 lecture,"['MW 8-9:50a', 'MW 4-5:50p']"
HST340 lecture,"['MW 12-1:50p']"
HST387 lecture,"['TR 10-11:50a']"
HST391 lecture,"['TR 8-9:50a']"
PHL121 lecture,"['TR 10-11:20a']"
PHL150 lecture,"['MW 4-5:20p']"
PHL160 lecture,"['MW 12-1:50p', 'TR 4-5:50p']"
PHL205 lecture,"['MW 8-9:50a', 'MW 10-11:50a', 'TR 2-3:50p']"
PHL208 lecture,"['MW 10-11:50a']"
PHL316 lecture,"['MW 12-1:50p']"
PHL443 lecture,"['TR 8:30-9:50a']"
PHL444 lecture,"['MW 8-9:50a']"
PHL543 lecture,"['TR 8:30-9:50a']"
REL160 lecture,"['MW 12-1:50p', 'TR 4-5:50p']"
REL208 lecture,"['MW 10-11:50a']"
REL443 lecture,"['TR 8:30-9:50a']"
ANTH101 lecture,"['MW 9-9:50a']"
ANTH230 lecture,"['MWF 9-9:50a']"
ANTH332 lecture,"['MW 2-2:50p; F 2-3:50p']"
ANTH345 lecture,"['TR 12-1:20p']"
ANTH370 lecture,"['TR 10-11:50a']"
ANTH383 lecture,"['TR 2-3:20p']"
CSSA548 lecture,"['F 2-4:50p']"
CSSA574 lecture,"['F 10a-12:50p']"
ES101 lecture,"['TR 12-1:20p']"
ES223 lecture,"['TR 4-5:50p']"
ES241 lecture,"['MW 4-5:50p']"
ES260 lecture,"['MW 10-11:50a']"
FR111 lecture,"['MTRF 9-9:50a', 'MTRF 1-1:50p']"
FR211 lecture,"['MTRF 2-2:50p']"
FR311 lecture,"['TR 4-5:20p']"
GER111 lecture,"['MW 4-5:50p']"
JPN111 lecture,"['MWF 9-9:50a', 'MWF 1-1:50p']"
JPN211 lecture,"['MWF 2-2:50p']"
JPN311 lecture,"['MWF 11-11:50a']"
QS262 lecture,"['TR 12-1:20p', 'MWF 2-2:50p']"
SPAN111 lecture,"['TWRF 11-11:50a', 'TWRF 1-1:50p', 'TWRF 3-3:50p']"
SPAN211 lecture,"['MTWR 8-8:50a', 'MTWR 9-9:50a', 'MTWR 11-11:50a']"
SPAN311 lecture,"['MWF 9-9:50a', 'MWF 10-10:50a', 'TR 8:30-9:50a', 'TR 10-11:20a']"
SPAN314 lecture,"['TR 4-5:20p']"
SPAN317 lecture,"['TR 12-1:20p', 'TR 2-3:20p']"
SPAN331 lecture,"['TR 4-5:20p']"
SPAN336 lecture,"['MWF 1-1:50p']"
WGSS223 lecture,"['TR 2-3:20p', 'MWF 10-10:50a']"
WGSS262 lecture,"['TR 12-1:20p', 'MWF 2-2:50p']"
WGSS280 lecture,"['TR 8:30-9:50a']"
WGSS325 lecture,"['MWF 9-9:50a', 'TR 8:30-9:50a', 'MWF 11-11:50a']"
WGSS340 lecture,"['TR 4-5:20p']"
WGSS360 lecture,"['MWF 10-10:50a']"
WGSS414 lecture,"['TR 12-1:50p']"
WLC335 lecture,"['TR 12-1:20p']"
PSY201 lecture,"['MW 12-1:50p', 'WF 4-5:50p', 'TR 2-3:50p']"
PSY202 lecture,"['TR 12-1:50p', 'MW 10-11:50a', 'WF 4-5:50p']"
PSY301 lecture,"['TR 12-1:50p', 'TR 2-3:50p', 'WF 8-9:50a', 'WF 12-1:50p']"
PSY340 lecture,"['MW 8-9:50a']"
PSY350 lecture,"['MW 12-1:50p']"
PSY360 lecture,"['MW 10-11:50a']"
PSY370 lecture,"['WF 2-3:50p']"
PSY381 lecture,"['TR 10-11:50a', 'TR 12-1:50p']"
PSY426 lecture,"['MW 12-1:50p']"
PSY456 lecture,"['TR 10-11:50a']"
PSY460 lecture,"['WF 2-3:50p']"
PSY480 lecture,"['TR 8-9:50a']"
PSY482 lecture,"['TR 4-5:50p']"
PSY485 lecture,"['TR 2-3:50p']"
PSY499 lecture,"['MW 10-11:50a']"
ECON201 lecture,"['TR 2-3:50p', 'TR 10-11:50a', 'TR 12-1:50p']"
ECON202 lecture,"['MW 10-11:50a']"
ECON311 lecture,"['MW 12-1:50p']"
ECON315 lecture,"['MW 4-5:50p']"
ECON330 lecture,"['TR 10-11:50a']"
ECON352 lecture,"['TR 12-1:20p']"
ECON411 lecture,"['MW 2-3:50p']"
ECON423 lecture,"['MW 8-9:50a']"
ECON424 lecture,"['MW 2-3:50p']"
ECON435 lecture,"['TR 12-1:50p']"
ECON439 lecture,"['TR 10-11:50a']"
ECON517 lecture,"['MW 2-3:50p']"
PPOL521 lecture,"['TR 12-1:50p']"
PPOL523 lecture,"['TR 10-11:50a']"
PPOL622 lecture,"['MW 10-11:50a']"
PS201 lecture,"['MW 12-1:50p']"
PS204 lecture,"['TR 10-11:50a']"
PS205 lecture,"['TR 12-1:50p']"
PS300 lecture,"['MW 10-11:50a']"
PS313 lecture,"['MW 12-1:50p']"
PS345 lecture,"['TR 12-1:50p']"
PS348 lecture,"['TR 2-3:50p']"
SOC204 lecture,"['MW 4-5:20p']"
SOC206 lecture,"['TR 10-11:20a']"
SOC315 lecture,"['TR 12-1:50p']"
SOC437 lecture,"['TR 2-3:50p']"
SOC441 lecture,"['TR 2-3:50p']"
ENG104 lecture,"['MWF 9-9:50a', 'TR 12-1:20p', 'MWF 2-2:50p']"
ENG106 lecture,"['MWF 12-12:50p']"
ENG204 lecture,"['MW 10-11:50a']"
WR121 lecture,"['MW 8-9:50a', 'MW 2-3:50p', 'TR 8-9:50a', 'TR 8-9:50a', 'TR 4-5:50p', 'MW 4-5:50p', 'TR 12-1:50p', 'MW 12-1:50p', 'TR 2-3:50p', 'MW 4-5:50p', 'MW 10-11:50a', 'MW 2-3:50p', 'TR 12-1:50p', 'MW 8-9:50a', 'MW 2-3:50p', 'MW 4-5:50p', 'TR 2-3:50p', 'MW 10-11:50a', 'TR 2-3:50p', 'MW 12-1:50p', 'MW 12-1:50p', 'TR 12-1:50p', 'TR 10-11:50a', 'TR 4-5:50p', 'TR 10-11:50a', 'MW 4-5:50p', 'TR 4-5:50p', 'TR 10-11:50a', 'MW 12-1:50p', 'MW 8-9:50a', 'TR 4-5:50p', 'TR 10-11:50a']"
WR201 lecture,"['MWF 9-9:50a']"
WR214 lecture,"['MWF 9-9:50a', 'MWF 10-10:50a']"
WR222 lecture,"['TR 8:30-9:50a', 'TR 2-3:20p', 'MWF 10-10:50a', 'MWF 4-4:50p', 'MWF 9-9:50a', 'MWF 11-11:50a', 'TR 10-11:20a', 'MWF 3-3:50p', 'TR 4-5:20p', 'MWF 12-12:50p', 'MWF 1-1:50p', 'MWF 2-2:50p', 'MWF 8-8:50a']"
WR224 lecture,"['TR 12-1:20p', 'TR 8:30-9:50a', 'TR 10-11:20a', 'MWF 4-4:50p']"
WR240 lecture,"['MWF 4-4:50p']"
WR241 lecture,"['MWF 3-3:50p', 'MWF 9-9:50a']"
WR327 lecture,"['MWF 2-2:50p', 'MWF 1-1:50p', 'MWF 11-11:50a', 'MWF 8-8:50a', 'MWF 11-11:50a', 'TR 4-5:20p', 'MWF 12-12:50p', 'MWF 3-3:50p', 'MWF 4-4:50p', 'TR 10-11:20a', 'TR 12-1:20p', 'TR 2-3:20p', 'MWF 9-9:50a', 'MWF 9-9:50a', 'MWF 10-10:50a']"
BB314 lecture,"['TR 2-3:20p']"
BB317 lecture,"['MWF 12-12:50p', 'MWF 2-2:50p']"
BB332 lecture,"['TR 10-11:20a']"
BB450 lecture,"['MWF 12-12:50p']"
BB481 lecture,"['MWF 1-1:50p']"
BB490 lecture,"['MWF 10-10:50a']"
BB493 lecture,"['T 4-4:50p']"
BOT325 lecture,"['MWF 11-11:50a']"
CH121 lecture,"['MWF 10-10:50a; R 8:30-9:50p', 'MWF 11-11:50a; R 8:30-9:50p', 'MWF 1-1:50p; R 8:30-9:50p']"
CH201 lecture,"['TR 8:30-9:50a', 'TR 10-11:20a', 'TR 12-1:20p', 'TR 2-3:20p']"
CH331 lecture,"['MWF 8-8:50a; R 7-8:20p', 'MWF 2-2:50p; R 7-8:20p']"
CH334 lecture,"['MWF 10-10:50a']"
CH361 lecture,"['M 4-4:50p']"
CH411 lecture,"['TR 10-11:20a']"
CH421 lecture,"['TR 8:30-9:50a']"
CH440 lecture,"['MWF 9-9:50a']"
CH461 lecture,"['TR 12-1:20p', 'WF 11-11:50a']"
CH511 lecture,"['TR 2-3:20p']"
CH535 lecture,"['MWF 11-11:50a']"
CH616 lecture,"['WF 4-5:20p']"
CH630 lecture,"['MWF 9-9:50a']"
BI101 lecture,"['TR 10-10:50a']"
BI231 lecture,"['MWF 9-9:50a']"
BI311 lecture,"['TR 8-9:50a', 'TR 2-3:20p']"
BI319 lecture,"['TR 2-3:20p', 'MWF 11-11:50a']"
BI331 lecture,"['TR 8:30-9:50a']"
BI370 lecture,"['MWF 9-9:50a']"
BI445 lecture,"['TR 2-3:20p']"
Z349 lecture,"['TR 12-1:20p']"
Z371 lecture,"['MWF 10-10:50a']"
Z422 lecture,"['TR 10-11:20a']"
Z423 lecture,"['TR 12-1:20p']"
Z425 lecture,"['MWF 9-9:50a']"
MTH103 lecture,"['MW 8-9:50a', 'MW 2-3:50p', 'MW 10-11:50a', 'MTWF 9-9:50a', 'MTWF 12-12:50p']"
MTH111 lecture,"['TR 8-9:20a', 'TR 12-1:20p', 'TR 10-11:20a', 'TR 2-3:20p', 'TR 4-5:20p', 'MWF 3-3:50p', 'TR 10-11:20a; WF 10-10:50a', 'TR 2-3:20p; WF 2-2:50p']"
MTH112 lecture,"['MWF 10-10:50a; T 7-8:20p', 'MWF 12-12:50p; T 7-8:20p', 'MWF 4-4:50p; T 7-8:20p', 'MWF 3-3:50p; T 7-8:20p', 'MWF 11-11:50a; T 7-8:20p', 'MWF 1-1:50p']"
MTH211 lecture,"['MW 8-9:50a']"
MTH228 lecture,"['MWF 3-3:50p']"
MTH231 lecture,"['MWF 9-9:50a; T 7-8:20p', 'MWF 12-12:50p; T 7-8:20p']"
MTH241 lecture,"['MWF 11-11:50a; T 8:30-9:50p', 'MTWF 1-1:50p; T 8:30-9:50p']"
MTH251 lecture,"['MWF 9-9:50a', 'MWF 12-12:50p', 'MWF 8-8:50a', 'MWF 11-11:50a', 'MWF 2-2:50p', 'MWF 3-3:50p', 'MWF 10-10:50a', 'MWF 12-12:50p', 'MWRF 3-3:50p', 'MWRF 10-10:50a']"
MTH252 lecture,"['MWF 11-11:50a', 'MWF 9-9:50a', 'MWF 3-3:50p']"
MTH254 lecture,"['MWF 4-4:50p; T 7-8:20p', 'MWF 3-3:50p; T 7-8:20p', 'MWF 9-9:50a; T 7-8:20p', 'MWF 10-10:50a; T 7-8:20p']"
MTH255 lecture,"['MWF 1-1:50p']"
MTH256 lecture,"['MWF 10-10:50a']"
MTH306 lecture,"['MWF 1-1:50p']"
MTH311 lecture,"['MWF 9-9:50a']"
