FES430 lecture,[]
FES435 lecture,[]
FES444 lecture,[]
FES445 lecture,['MW 2-3:50p']
FES452 lecture,[]
FES455 lecture,[]
FES555 lecture,[]
NR201 lecture,['TR 10-11:20a']
NR202 lecture,['MW 4-5:20p']
NR312 lecture,[]
NR455 lecture,[]
SNR511 lecture,[]
SNR521 lecture,[]
SNR540 lecture,[]
TRAL130 lecture,[]
TRAL251 lecture,['TR 12-1:50p']
TRAL352 lecture,[]
TRAL353 lecture,['TR 2-3:50p']
TRAL357 lecture,['TR 10-11:20a']
TRAL375 lecture,[]
TRAL493 lecture,[]
FE208 lecture,['MWF 8-8:50a', 'MWF 9-9:50a']
FE257 lecture,[]
FE370 lecture,['MWF 11-11:50a']
FE430 lecture,[]
FE434 lecture,['MWF 8-8:50a']
FE457 lecture,['TR 8:30-9:50a']
FE460 lecture,['MW 6-7:20p']
FE532 lecture,[]
FOR111 lecture,['MF 12-12:50p']
FOR321 lecture,['MWF 9-9:50a']
FOR413 lecture,['MW 12-12:50p']
FOR436 lecture,['MWF 10-10:50a']
FOR457 lecture,['TR 8:30-9:50a']
FOR462 lecture,[]
FOR562 lecture,[]
FOR599 lecture,[]
WSE210 lecture,[]
WSE266 lecture,[]
WSE320 lecture,['TR 11-11:50a']
WSE321 lecture,['MF 2-2:50p']
WSE392 lecture,[]
WSE461 lecture,[]
PHAR210 lecture,['F 3-4:50p']
PHAR714 lecture,[]
PHAR720 lecture,['MW 9-9:50a']
PHAR729 lecture,['F 12-1:50p']
PHAR735 lecture,['MWF 11-11:50a']
PHAR738 lecture,['TR 8:30-9:50a']
PHAR740 lecture,['M 8-8:50a']
PHAR752 lecture,['MWF 12-1:50p; TR 12-12:50p']
PHAR761 lecture,['MTWR 9-10:50a; F 9-9:50a']
PHAR764 lecture,[]
PHAR770 lecture,[]
AMS311 lecture,[]
EAH411 lecture,[]
ART100 lecture,['F 12-12:50p']
ART101 lecture,[]
ART115 lecture,[]
ART117 lecture,[]
ART121 lecture,[]
ART131 lecture,[]
ART199 lecture,[]
ART204 lecture,['MWF 12-12:50p']
ART205 lecture,[]
ART234 lecture,[]
ART263 lecture,[]
ART264 lecture,[]
ART271 lecture,[]
ART281 lecture,[]
ART320 lecture,['MWF 2-2:50p']
ART322 lecture,[]
ART339 lecture,[]
ART340 lecture,[]
ART345 lecture,[]
ART347 lecture,[]
ART367 lecture,['TR 2-3:20p']
ART379 lecture,[]
ART399 lecture,[]
ART432 lecture,[]
ART444 lecture,[]
ART462 lecture,['TR 5-6:20p']
ART481 lecture,[]
COMM111 lecture,['M 1-1:50p', 'M 2-2:50p', 'MWF 1-1:50p', 'MWF 4-4:50p', 'TR 4-5:20p']
COMM114 lecture,['M 11-11:50a']
COMM211 lecture,[]
COMM218 lecture,['MWF 11-11:50a', 'MWF 3-3:50p', 'MWF 9-9:50a', 'MWF 9-9:50a', 'TR 10-11:20a', 'MWF 11-11:50a', 'MWF 10-10:50a', 'TR 2-3:20p', 'TR 12-1:20p', 'MWF 1-1:50p', 'MWF 2-2:50p', 'T 4-6:50p', 'TR 3-4:20p']
COMM312 lecture,['MWF 10-10:50a']
COMM316 lecture,[]
COMM320 lecture,['TR 12-1:20p']
COMM321 lecture,['TR 10-11:20a']
COMM322 lecture,[]
COMM324 lecture,[]
COMM326 lecture,['TR 2-3:20p']
COMM328 lecture,[]
COMM372 lecture,['T 4-6:50p']
COMM380 lecture,[]
COMM385 lecture,[]
COMM399 lecture,['MWF 11-11:50a']
COMM414 lecture,['TR 10-11:20a']
COMM422 lecture,[]
COMM425 lecture,[]
COMM437 lecture,[]
COMM440 lecture,['M 6-8:50p']
COMM458 lecture,[]
COMM540 lecture,['M 6-8:50p']
GD200 lecture,[]
GD226 lecture,[]
GD326 lecture,[]
GD328 lecture,[]
GD424 lecture,[]
GD426 lecture,[]
MUED277 lecture,[]
MUP193 lecture,[]
MUS101 lecture,[]
MUS102 lecture,[]
MUS111 lecture,['MW 12-1:20p']
MUS121 lecture,['TR 8:30-9:50a', 'MWF 11-11:50a', 'MWF 11-11:50a']
MUS171 lecture,[]
MUS221 lecture,['MWF 9-9:50a']
MUS234 lecture,[]
MUS271 lecture,[]
MUS315 lecture,['TR 10-10:50a']
MUS324 lecture,['MWF 10-10:50a']
MUS371 lecture,[]
MUS399 lecture,['MW 8-9:20a', 'R 4-4:50p']
MUS442 lecture,[]
NMC100 lecture,['TR 10-11:20a']
NMC101 lecture,['MW 4-5:20p']
NMC255 lecture,['TR 12-1:50p']
NMC301 lecture,['TR 10-11:20a']
NMC302 lecture,[]
NMC306 lecture,[]
NMC311 lecture,[]
NMC321 lecture,[]
NMC322 lecture,['TR 4-5:20p']
NMC330 lecture,['TR 8:30-9:50a']
NMC351 lecture,[]
NMC380 lecture,[]
NMC399 lecture,[]
NMC409 lecture,[]
NMC418 lecture,[]
NMC419 lecture,[]
NMC421 lecture,['TR 12-1:20p']
NMC440 lecture,[]
NMC481 lecture,[]
NMC484 lecture,[]
NMC498 lecture,[]
NMC499 lecture,[]
TA147 lecture,['TR 12-1:20p']
TA242 lecture,['TR 10-11:20a']
TA244 lecture,['TR 10-10:50a']
TA247 lecture,['TR 2-3:20p']
TA330 lecture,['MWF 11-11:50a']
TA351 lecture,['MW 4-5:20p']
HST101 lecture,['MW 8-9:50a']
HST102 lecture,['MW 12-1:50p']
HST103 lecture,[]
HST104 lecture,['TR 8-9:20a', 'MW 4-5:20p']
HST105 lecture,['TR 2-3:20p']
HST106 lecture,['TR 12-1:20p']
HST201 lecture,['TR 8-9:50a']
HST202 lecture,['TR 10-11:50a']
HST203 lecture,['MW 2-3:50p']
HST210 lecture,[]
HST310 lecture,['TR 12-1:50p']
HST317 lecture,['MW 8-9:50a', 'MW 4-5:50p']
HST318 lecture,[]
HST321 lecture,[]
HST322 lecture,[]
HST325 lecture,[]
HST328 lecture,[]
HST340 lecture,['MW 12-1:50p']
HST348 lecture,[]
HST350 lecture,[]
HST362 lecture,[]
HST369 lecture,[]
HST387 lecture,['TR 10-11:50a']
HST391 lecture,['TR 8-9:50a']
HST399 lecture,[]
HST407 lecture,[]
HST416 lecture,[]
HST425 lecture,[]
HST470 lecture,[]
HST481 lecture,[]
HSTS417 lecture,[]
HSTS419 lecture,[]
HSTS451 lecture,[]
PHL121 lecture,['TR 10-11:20a']
PHL150 lecture,['MW 4-5:20p']
PHL160 lecture,['MW 12-1:50p', 'TR 4-5:50p']
PHL201 lecture,[]
PHL205 lecture,['MW 8-9:50a', 'MW 10-11:50a', 'TR 2-3:50p']
PHL207 lecture,[]
PHL208 lecture,['MW 10-11:50a']
PHL210 lecture,[]
PHL251 lecture,[]
PHL301 lecture,[]
PHL316 lecture,['MW 12-1:50p']
PHL407 lecture,[]
PHL443 lecture,['TR 8:30-9:50a']
PHL444 lecture,['MW 8-9:50a']
PHL543 lecture,['TR 8:30-9:50a']
REL160 lecture,['MW 12-1:50p', 'TR 4-5:50p']
REL208 lecture,['MW 10-11:50a']
REL210 lecture,[]
REL378 lecture,[]
REL415 lecture,[]
REL443 lecture,['TR 8:30-9:50a']
ANTH101 lecture,['MW 9-9:50a']
ANTH110 lecture,[]
ANTH210 lecture,[]
ANTH230 lecture,['MWF 9-9:50a']
ANTH251 lecture,[]
ANTH261 lecture,[]
ANTH284 lecture,[]
ANTH311 lecture,[]
ANTH313 lecture,[]
ANTH330 lecture,[]
ANTH332 lecture,['MW 2-2:50p; F 2-3:50p']
ANTH345 lecture,['TR 12-1:20p']
ANTH350 lecture,[]
ANTH352 lecture,[]
ANTH361 lecture,[]
ANTH370 lecture,['TR 10-11:50a']
ANTH374 lecture,[]
ANTH380 lecture,[]
ANTH383 lecture,['TR 2-3:20p']
ANTH433 lecture,[]
ANTH449 lecture,[]
ANTH475 lecture,[]
ANTH477 lecture,[]
ANTH478 lecture,[]
ANTH490 lecture,[]
ASL111 lecture,[]
ASL211 lecture,[]
CHN111 lecture,[]
CHN211 lecture,[]
CHN311 lecture,[]
CSSA548 lecture,['F 2-4:50p']
CSSA574 lecture,['F 10a-12:50p']
CSSA599 lecture,[]
ES101 lecture,['TR 12-1:20p']
ES223 lecture,['TR 4-5:50p']
ES231 lecture,[]
ES241 lecture,['MW 4-5:50p']
ES243 lecture,[]
ES260 lecture,['MW 10-11:50a']
ES351 lecture,[]
FCSJ261 lecture,[]
FCSJ454 lecture,[]
FR111 lecture,['MTRF 9-9:50a', 'MTRF 1-1:50p']
FR211 lecture,['MTRF 2-2:50p']
FR311 lecture,['TR 4-5:20p']
FR340 lecture,[]
GER111 lecture,['MW 4-5:50p']
GER211 lecture,[]
GER311 lecture,[]
GER411 lecture,[]
IT111 lecture,[]
IT211 lecture,[]
JPN111 lecture,['MWF 9-9:50a', 'MWF 1-1:50p']
JPN211 lecture,['MWF 2-2:50p']
JPN311 lecture,['MWF 11-11:50a']
KOR111 lecture,[]
KOR211 lecture,[]
QS262 lecture,['TR 12-1:20p', 'MWF 2-2:50p']
SPAN111 lecture,['TWRF 11-11:50a', 'TWRF 1-1:50p', 'TWRF 3-3:50p']
SPAN112 lecture,[]
SPAN211 lecture,['MTWR 8-8:50a', 'MTWR 9-9:50a', 'MTWR 11-11:50a']
SPAN311 lecture,['MWF 9-9:50a', 'MWF 10-10:50a', 'TR 8:30-9:50a', 'TR 10-11:20a']
SPAN314 lecture,['TR 4-5:20p']
SPAN317 lecture,['TR 12-1:20p', 'TR 2-3:20p']
SPAN318 lecture,[]
SPAN327 lecture,[]
SPAN331 lecture,['TR 4-5:20p']
SPAN336 lecture,['MWF 1-1:50p']
SPAN438 lecture,[]
WGSS223 lecture,['TR 2-3:20p', 'MWF 10-10:50a']
WGSS224 lecture,[]
WGSS230 lecture,[]
WGSS240 lecture,[]
WGSS262 lecture,['TR 12-1:20p', 'MWF 2-2:50p']
WGSS280 lecture,['TR 8:30-9:50a']
WGSS325 lecture,['MWF 9-9:50a', 'TR 8:30-9:50a', 'MWF 11-11:50a']
WGSS340 lecture,['TR 4-5:20p']
WGSS360 lecture,['MWF 10-10:50a']
WGSS414 lecture,['TR 12-1:50p']
WGSS440 lecture,[]
WLC231 lecture,[]
WLC320 lecture,[]
WLC331 lecture,[]
WLC335 lecture,['TR 12-1:20p']
PSY201 lecture,['MW 12-1:50p', 'WF 4-5:50p', 'TR 2-3:50p']
PSY202 lecture,['TR 12-1:50p', 'MW 10-11:50a', 'WF 4-5:50p']
PSY301 lecture,['TR 12-1:50p', 'TR 2-3:50p', 'WF 8-9:50a', 'WF 12-1:50p']
PSY330 lecture,[]
PSY340 lecture,['MW 8-9:50a']
PSY350 lecture,['MW 12-1:50p']
PSY360 lecture,['MW 10-11:50a']
PSY370 lecture,['WF 2-3:50p']
PSY381 lecture,['TR 10-11:50a', 'TR 12-1:50p']
PSY399 lecture,[]
PSY426 lecture,['MW 12-1:50p']
PSY433 lecture,[]
PSY437 lecture,[]
PSY440 lecture,[]
PSY442 lecture,[]
PSY444 lecture,[]
PSY456 lecture,['TR 10-11:50a']
PSY460 lecture,['WF 2-3:50p']
PSY468 lecture,[]
PSY480 lecture,['TR 8-9:50a']
PSY482 lecture,['TR 4-5:50p']
PSY485 lecture,['TR 2-3:50p']
PSY493 lecture,[]
PSY496 lecture,[]
PSY499 lecture,['MW 10-11:50a']
PSY561 lecture,[]
ECON201 lecture,['TR 2-3:50p', 'TR 10-11:50a', 'TR 12-1:50p']
ECON202 lecture,['MW 10-11:50a']
ECON311 lecture,['MW 12-1:50p']
ECON315 lecture,['MW 4-5:50p']
ECON330 lecture,['TR 10-11:50a']
ECON340 lecture,[]
ECON352 lecture,['TR 12-1:20p']
ECON411 lecture,['MW 2-3:50p']
ECON423 lecture,['MW 8-9:50a']
